Index,Sentiment,SentimentText
0,1,@SionGundy ha. I sure would. It all kicks off tomorrow too 
1,1,"@sionlee If only you were closer, I'd offer to go with you! "
2,1,@sionnyn I feel creeeeeeam 
3,1,@Siouxsinner Good idea. There will be plummeting off a mountainside or crashing into the Colorado River today. 
4,1,@Siouxsinner U can kill me with a stare. I believe it. Will be wearin shades when around u. 
5,1,@siovene lol I don't blame you it's not the safest thing in the world 
6,1,@siowls bit early in the morning.. Sorry 
7,1,@sipawitz Glad I could help. 
8,1,"@sipdrink Thanks for the update, will grab some when i go into town. "
9,1,"@siphilp No worries, let me know if you need anything else "
10,1,@SippieCup  Glad to hear T. What juice are you today?
11,1,@Siq1369 happy birthday! Enjoy it 
12,1,@Sir_Almo  It's my music if they don't like it they can switch off. lol 
13,1,@Sir_Almo Hello! How are you? 
14,1,"@Sir_Racer Nope, all's fair in war and war "
15,1,@sir_will It's missed you! I get to see you guys in 12 days!! 
16,1,"@Siraahh - I'm sure, U wouldn't "
17,1,"@Siraahh sounds fun, have a nice day sirah "
18,1,@sirahsirah it's not a pretty one is it 
19,1,"@sirahsirah yes, the beer will hide the cold  "
20,1,@siratomofbones Loved Up. Pixar has never failed me. 
21,1,@sirayray do you know JoAnna Webb? she took it 
22,1,@SirBarley Ruh Roh! Looks like you've got a new little brother! 
23,1,@SirBob I dream of Iowa in comparison to Ikea. 
24,1,"@TiphTiph I'm fine.  Did a crazy dip last night and a back muscle went, quote, &quot;sproing&quot;. But ice and a good night's sleep worked OK."
25,1,@Tipigal Hey! I'm doing great! How exciting for you! I bet you are thrilled! 
26,1,@tipp_princess done 
27,1,"@tipp_princess Grand, slaving away here  At least I've a nice cup of tea beside me though"
28,1,"@tipp_princess Lol, hi there "
29,1,"@TIPPEXGOLF Hello  I enjoyed the sun thank you xx I guess everyone with breathing difficulties, has problems when its hot...xxxx"
30,1,@tippielove lol!!! Do u have kids? I cant get my head round ur life in NYC - ur tweets confuse me!  
31,1,@tipsen5537 i should've clarified...why can't everything just work *for me* 
32,1,@TipsForWriters statement had no personal offense. It deserved my retort. if you're going to tweet. You might not always like my reply 
33,1,"@TipSquirrel Ohh..I was about to send you a link. Yeah, they are really yum and a specialty of my place "
34,1,@TipSquirrel Thanks  I hope you have a terrific weekend
35,1,@tiptkyle geez 14?! Lol imma get there soon!! Haha aint they addicting?! 
36,1,@tiqus HAHAHA!  That's sooo cute! And soo cool! And did ya cut your hair?
37,1,@tiraad http://twitpic.com/6st72 - Awwwe your the best person ever &amp; your perfect for me! I lovee you 
38,1,"@TiraFA There can be miracles when you believe. Though hope is frail, it's hard to care. Who knows what miracles you can achieve? *sings* "
39,1,"@Tirandirth  Cool, I can probably make it to Borders/Costa for about 1? And now I actually have to go get food. TO CO-OP."
40,1,@tirayoung I love it but I need some lessons! 
41,1,@tirebouchon  thanks!
42,1,"@Tiredofbeinsex ah I see , they cute "
43,1,@tirinda great ! So I should see u by Friday with some dope tees to put in the store 
44,1,@tirsen happy birthday  and .....
45,1,"@tirsen Yes, Beer helps a lot. "
46,1,@Tirvy inconsiderate ppl! don't lend anyone anything is the best way.. that's why I'm horrible to everybody 
47,1,@SirchOne hahaha yeah I stayed up and bumped the tunes!! 
48,1,@SirchOne woooo balloon crew 
49,1,@SirCrumpet Jump on grooveshark and find something  http://listen.grooveshark.com/
50,1,@sirdaniels come on over! Hindu Temple Delaware! 
51,1,"@sirdk1 daviddd, how are you? "
52,1,"@SirDrey hahahaha it is! I still absolutely adore it when you say it, it sounds so cute "
53,1,@SirDrey thanks for the follow  im ur 100 WOOOHOO
54,1,@Sire_TRM I now have it set to check every hour for new tweets. 
55,1,"@SirEdwardCullen Hm. Interesting, oh so very interesting. "
56,1,"@SirEdwardCullen How about a tragety? I was always part of the dramatics. I don't know, Romeo really loved Juliet.. hmm. "
57,1,@SirEdwardCullen Nope. I win. 
58,1,@SirEdwardCullen Sounds good. 
59,1,"@SirensEye it was thought of post long meeting, and pre sunset run on the beach "
60,1,@sirensgate I'm a short haired fairy werewolf princess. I don't shed. 
61,1,"@sirensgate Oops, sorry. I WUV YOU!  "
62,1,@sirgabe Haha. I'm not THAT big  How are you buddy?
63,1,@SirGarde hey how are ye? 
64,1,"@SirHendrix GM may be gone, but there's' NOTHING in the world like a Cadillac ride, baby! Ask the man who owns one! "
65,1,"@SirHogarth I hope to have V1.0 of my post up late tonight... til then, here's a cool frame from the video  http://www.twitpic.com/3nfst"
66,1,@sirhova I'm gone 2 check your website out! I love when people have their own business!!!! 
67,1,@siriuslyheather No. Still sitting. Prime says they're short on loads.  Hopefully soon 
68,1,@tisfan Crazy walking lady! Way to go. 
69,1,@tisforjanelle YAY! ) You made a Twitter.  Now I don't have to spit on a Llama. :|
70,1,"@Tish_B I'm trying to be like u, ma! "
71,1,@tish_tish If your goal is to make me blush and feel all tingly... you've succeeded. Thanks Tish. 
72,1,"@tishac I'm not crazy about most of my looks, minus the hair. "
73,1,@tishaoyeah find another 
74,1,@tishfearless  Lovin mine too! We gotta do it more often abd bring a grill next time.. Burgers and hotdogs. YUM!
75,1,"@tishh ahhhh ii should be there! in boxers, spice girl tee, no makeup, and my hair on top of my head "
76,1,@tishialee can you take photos and use slide.com or photobucket to make a slideshow instead?  Or go to kelly's house!!! 
77,1,@tisonfire no because I'm at space now. This is my final destination of the evening 
78,1,"@tisonfire: haha. well, the writing is part of my job! that's why i am trying so hard to become awake.. "
79,1,@TissieTC im more vibrant! haha i can run faster than you :O 
80,1,@tissuerose you'll hv fun tonight  dump those negative feelings aside
81,1,@tisyonk @dinug yayyy glad to find you two! *hugs* thought there were only me @reszzpati n @talithaxoxo. i'm in surabayaa 
82,1,@tisyonk oh ok! Thanks! 
83,1,@Tit0_Rachel rachel! 
84,1,"@titabobra el vodka y el jugo d naranja es una mezcla q no hago ni x el pvtxs, vodka tonics, that's my thing "
85,1,@titanas Mmmmm.... all sounds great 
86,1,@titanas You have turned very romantic...are u sick 
